	KeyBert	KeyBert_Freq	TextRank_NOUN	TextRank_NOUN_Freq	TextRank_PROPN	TextRank_PROPN_Freq	TextRank_VERB	TextRank_VERB_Freq	SingleRank_NOUN	SingleRank_NOUN_Freq	SingleRank_PROPN	SingleRank_PROPN_Freq	SingleRank_VERB	SingleRank_VERB_Freq	PositionRank_NOUN	PositionRank_NOUN_Freq	PositionRank_PROPN	PositionRank_PROPN_Freq	PositionRank_VERB	PositionRank_VERB_Freq	MultipartiteRank	MultipartiteRank_Freq	Yake_NOUN	Yake_NOUN_Freq	Yake_PROPN	Yake_PROPN_Freq	Yake_VERB	Yake_VERB_Freq	sCAKE_NOUN	sCAKE_NOUN_Freq	sCAKE_PROPN	sCAKE_PROPN_Freq	sCAKE_VERB	sCAKE_VERB_Freq	SGRank_NOUN	SGRank_NOUN_Freq	SGRank_PROPN	SGRank_PROPN_Freq	SGRank_VERB	SGRank_VERB_Freq
170	order	17.0	description	6.0	social club	1.0	stop process	4.0	customer	6.0	social club	1.0	stop process	4.0	description	6.0	personal data protection commission	1.0	stop process	4.0	verify	10	notification	6.0	homer	2.0	head	4.0	day	5.0	amsterdam	1.0	block	3.0	residence	6.0	huuuges	2.0	have	4.0
171	able	17.0	business	6.0	social point	1.0	adjust	4.0	description	6.0	social point	1.0	adjust	4.0	business	6.0	social club	1.0	adjust	4.0	profile	10	post	6.0	-urlor	2.0	raise	4.0	legislator	5.0	letsvpn	1.0	view update	3.0	unsubscribe	6.0	holborn	2.0	read	4.0
172	file	16.0	paragraph	5.0	internet privacy policy	1.0	head	4.0	business	6.0	internet privacy policy	1.0	head	4.0	paragraph	5.0	social point	1.0	head	4.0	request deletion	10	instance	6.0	lion	2.0	place	4.0	existence	5.0	level	1.0	offer	3.0	feedback	6.0	denis	2.0	create	4.0
173	addition	16.0	f	5.0	internet privacy policy administrator	1.0	raise	4.0	paragraph	5.0	internet privacy policy administrator	1.0	raise	4.0	f	5.0	internet privacy policy	1.0	raise	4.0	opt-out	10	residence	6.0	studios	2.0	select	4.0	method	5.0	lion??s data protection officer	1.0	continue process	3.0	method	6.0	saint	2.0	correspond	4.0
174	query	16.0	alternative	5.0	eprivacy gmbh	1.0	access rectify	4.0	alternative	5.0	eprivacy gmbh	1.0	access rectify	4.0	alternative	5.0	internet privacy policy administrator	1.0	access rectify	4.0	page	10	work	6.0	musescore	2.0	indicate	4.0	date	5.0	medium	1.0	strive	3.0	enquiry	6.0	faubourg	2.0	load	3.0
175	complain	16.0	profile page	5.0	prof	1.0	have	4.0	profile page	5.0	prof	1.0	have	4.0	profile page	5.0	eprivacy gmbh	1.0	have	4.0	inquiry	10	unsubscribe	6.0	civil	2.0	have	4.0	e	5.0	octaaf soudanstraat	1.0	review edit	3.0	mailing	6.0	tiktok	2.0	gather	3.0
176	cookie	16.0	datum use concern	5.0	tandems	1.0	create	4.0	datum use concern	5.0	tandems	1.0	create	4.0	datum use concern	5.0	prof	1.0	create	4.0	complaint regard	10	feedback	6.0	settings	2.0	read	4.0	place	5.0	sint	1.0	indicate	3.0	extent	6.0	floor	2.0	replace	3.0
177	message	16.0	dispute	5.0	chengdu sichuan china	1.0	correspond	4.0	dispute	5.0	tap4fun co. ltd	1.0	correspond	4.0	dispute	5.0	tandems	1.0	correspond	4.0	respond	10	method	6.0	rooster	2.0	create	4.0	confirmation	5.0	denijs	1.0	think	3.0	step	6.0	fireproof	2.0	cancel	3.0
178	delay	15.0	office	5.0	tap4fun co. ltd	1.0	load	3.0	office	5.0	privacy administrator	1.0	load	3.0	office	5.0	tap4fun co. ltd	1.0	load	3.0	mail	10	mailing	6.0	teeth	2.0	correspond	4.0	communication	5.0	westrem	1.0	have	3.0	description	6.0	tw8	2.0	charge	3.0
179	18	15.0	withdrawal	5.0	privacy administrator	1.0	replace	3.0	withdrawal	5.0	chengdu sichuan china	1.0	replace	3.0	withdrawal	5.0	privacy administrator	1.0	replace	3.0	contact detail provide	10	extent	6.0	productions	2.0	load	3.0	performance	5.0	belgium	1.0	add update	3.0	record	6.0	middlesex	2.0	pende	3.0
180	inform	15.0	day	5.0	tianfu	1.0	cancel	3.0	day	5.0	tianfu	1.0	cancel	3.0	day	5.0	tianfu	1.0	cancel	3.0	explain	10	step	6.0	tx	2.0	gather	3.0	individual	5.0	california civil code	1.0	call	3.0	sharing	5.0	brentford	2.0	situate	3.0
181	unless	15.0	legislator	5.0	ted sites	1.0	correct update	3.0	legislator	5.0	ted sites	1.0	correct update	3.0	legislator	5.0	chengdu sichuan china	1.0	correct update	3.0	stop use	9	description	6.0	e	2.0	replace	3.0	balancing	5.0	nekki limited	1.0	read	3.0	transfer	5.0	west	2.0	accept	3.0
182	complete	15.0	existence	5.0	s el camino real suite	1.0	charge	3.0	existence	5.0	s el camino real suite	1.0	charge	3.0	existence	5.0	ted sites	1.0	charge	3.0	portability	9	sharing	5.0	austin	2.0	cancel	3.0	contract performance	5.0	art.18 gdpr	1.0	file	3.0	retention	5.0	great	2.0	encourage	3.0
183	mobile	15.0	response	5.0	tile inc.	1.0	process pende	3.0	response	5.0	tile inc.	1.0	process pende	3.0	response	5.0	s el camino real suite	1.0	process pende	3.0	comply	9	transfer	5.0	51st	2.0	charge	3.0	period	5.0	nova geims ooo	1.0	fulfil	3.0	notification	5.0	tgtg	2.0	possess	3.0
184	advertising	15.0	individual	5.0	san mateo	1.0	situate	3.0	performance	5.0	san mateo	1.0	situate	3.0	confirmation	5.0	tile inc.	1.0	situate	3.0	information provide	9	retention	5.0	belarus	2.0	pende	3.0	record	5.0	european data protection supervisor	1.0	compromise	3.0	alternative	5.0	t	2.0	upload	3.0
185	security	15.0	balancing	5.0	privacy team thomson reuters	1.0	revise	3.0	individual	5.0	privacy team thomson reuters	1.0	revise	3.0	performance	5.0	san mateo	1.0	revise	3.0	objection	9	alternative	5.0	minsk	2.0	situate	3.0	service provider	5.0	outfit7	1.0	login	3.0	post	5.0	mortimer	2.0	deal	3.0
186	profiling	15.0	contract performance	5.0	canary wharf london	1.0	assert	3.0	balancing	5.0	canary wharf london	1.0	assert	3.0	individual	5.0	privacy team thomson reuters	1.0	assert	3.0	guardian	9	resolution	5.0	topface	2.0	revise	3.0	identity	5.0	privacy policy notice	1.0	attempt	3.0	resolution	5.0	picsart	2.0	aim	3.0
187	personally	15.0	period	5.0	statement	1.0	accept	3.0	contract performance	5.0	statement	1.0	accept	3.0	balancing	5.0	statement	1.0	accept	3.0	update information	9	department	5.0	rights	2.0	accept	3.0	datum processing	5.0	berliner beauftragte fr datenschutz	1.0	review delete	3.0	department	5.0	b66	2.0	strive	3.0
188	list	14.0	service provider	5.0	data protection officer thomson reuters	1.0	destroy	3.0	period	5.0	data protection officer thomson reuters	1.0	destroy	3.0	contract performance	5.0	canary wharf london	1.0	destroy	3.0	access update	9	office	5.0	direct	2.0	destroy	3.0	marketing communication	5.0	informationsfreiheit	1.0	place	3.0	office	5.0	smethwick	2.0	remain	3.0
189	contract	14.0	identity	5.0	canary wharf london e14	1.0	e	3.0	service provider	5.0	canary wharf london e14	1.0	e	3.0	period	5.0	data protection officer thomson reuters	1.0	encourage	3.0	site	9	withdrawal	5.0	irish	2.0	encourage	3.0	contact	5.0	section ii.i.1.d	1.0	suspend	2.0	day	5.0	roebuck	2.0	cover	3.0
190	prevent	14.0	datum processing	5.0	twitch interactive inc.	1.0	encourage	3.0	identity	5.0	twitch interactive inc.	1.0	encourage	3.0	service provider	5.0	canary wharf london e14	1.0	possess	3.0	work	9	day	5.0	principles	2.0	possess	3.0	business purpose	5.0	autoriteit persoonsgegevens	1.0	defend	2.0	legislator	5.0	drogheda	2.0	fulfil	3.0
191	feasible	14.0	marketing communication	5.0	twitch services	1.0	possess	3.0	datum processing	5.0	bush street	1.0	possess	3.0	identity	5.0	twitch interactive inc.	1.0	upload	3.0	allege infringement	9	legislator	5.0	camel	2.0	upload	3.0	transfer	4.0	hong kong law	1.0	involve	2.0	existence	5.0	lagavooren	2.0	compromise	3.0
192	competent	14.0	contact	5.0	bush street	1.0	upload	3.0	marketing communication	5.0	twitch services	1.0	upload	3.0	datum processing	5.0	twitch services	1.0	access update	3.0	place	9	existence	5.0	market	2.0	deal	3.0	privacy question	4.0	legal protection	1.0	violate	2.0	menu	5.0	ring	2.0	login	3.0
193	objection	14.0	business purpose	5.0	vertigo games sepapaja	1.0	access update	3.0	contact	5.0	vertigo games sepapaja	1.0	access update	3.0	marketing communication	5.0	bush street	1.0	deal	3.0	refer	9	menu	5.0	sas	2.0	aim	3.0	limitation	4.0	rosh ha ayin industrial zone israel	1.0	restore	2.0	statement	5.0	bull	2.0	attempt	3.0
194	post	14.0	transfer	4.0	estonia	1.0	deal	3.0	business purpose	5.0	tallinn	1.0	deal	3.0	contact	5.0	vertigo games sepapaja	1.0	block	3.0	disclose	9	statement	5.0	rue	2.0	s	3.0	notification	4.0	microsoft	1.0	issue	2.0	response	5.0	boyne	2.0	reject	2.0
195	country	14.0	privacy question	4.0	tallinn	1.0	block	3.0	transfer	4.0	estonia	1.0	block	3.0	business purpose	5.0	tallinn	1.0	view update	3.0	cookie	9	response	5.0	flaregames	2.0	strive	3.0	requirement	4.0	limited liability company swag masha	1.0	access correct	2.0	individual	5.0	governance	2.0	suspend	2.0
196	resident	14.0	owner	4.0	contextlogic b.v.s	1.0	view update	3.0	privacy question	4.0	contextlogic b.v.s	1.0	view update	3.0	transfer	4.0	estonia	1.0	continue process	3.0	security	9	individual	5.0	bdsg	2.0	remain	3.0	regard	4.0	internatsionalnaya str	1.0	encourage	2.0	body	5.0	grci	2.0	defend	2.0
197	number	14.0	dpo	4.0	netherlands data authority	1.0	continue process	3.0	owner	4.0	netherlands data authority	1.0	continue process	3.0	privacy question	4.0	contextlogic b.v.s	1.0	aim	3.0	obtain restriction	9	body	5.0	huuuges	2.0	cover	3.0	nature	4.0	republic	1.0	complete include	2.0	breach	5.0	management	2.0	lift	2.0
198	notice	14.0	entity	4.0	technologies	1.0	aim	3.0	dpo	4.0	technologies	1.0	aim	3.0	owner	4.0	netherlands data authority	1.0	strive	3.0	establishment exercise	9	breach	5.0	cookie	2.0	act	3.0	post	4.0	support center	1.0	reset	2.0	rule	5.0	head	2.0	terminate	2.0
199	games	14.0	limitation	4.0	data request portal	1.0	s	3.0	entity	4.0	data request portal	1.0	strive	3.0	dpo	4.0	technologies	1.0	remain	3.0	defense	9	rule	5.0	holborn	2.0	fulfil	3.0	profile setting	4.0	aurora ave woodstock ga	1.0	join	2.0	function	5.0	suntec	1.0	involve	2.0
200	browser	13.0	notification	4.0	personal data request portal	1.0	strive	3.0	limitation	4.0	personal data request portal	1.0	remain	3.0	entity	4.0	data request portal	1.0	review edit	3.0	compliance	9	assistance	5.0	faubourg	2.0	compromise	3.0	fee	4.0	tastypill	1.0	deal	2.0	identity	5.0	temasek	1.0	oblige	2.0
201	regulation	13.0	requirement	4.0	street san francisco	1.0	remain	3.0	notification	4.0	customer support page	1.0	review edit	3.0	limitation	4.0	personal data request portal	1.0	cover	3.0	record	9	function	5.0	saint	2.0	login	3.0	verification	4.0	testfoni	1.0	rectify erase	2.0	telephone	5.0	jagex	1.0	violate	2.0
202	learn	13.0	nature	4.0	customer support page	1.0	review edit	3.0	requirement	4.0	zynga inc.	1.0	cover	3.0	notification	4.0	customer support page	1.0	add update	3.0	provision	9	identity	5.0	denis	2.0	attempt	3.0	residence place	4.0	topface	1.0	open	2.0	center	5.0	para	1.0	revise	2.0
203	relation	13.0	regard	4.0	zynga inc.	1.0	cover	3.0	nature	4.0	street san francisco	1.0	add update	3.0	requirement	4.0	zynga inc.	1.0	call	3.0	issue	9	telephone	5.0	tiktok	2.0	reject	2.0	server	4.0	nicosia cyprus	1.0	aim	2.0	password	5.0	jaumos	1.0	restore	2.0
204	set	13.0	profile setting	4.0	musixmatch	1.0	add update	3.0	regard	4.0	musixmatch	1.0	call	3.0	regard	4.0	street san francisco	1.0	select	3.0	notify	8	safeguard	5.0	floor	2.0	bring	2.0	datum protection law	4.0	boubolina	1.0	reside work	2.0	operation	5.0	lingodeer	1.0	instruct	2.0
205	override	13.0	fee	4.0	authority	1.0	call	3.0	profile setting	4.0	authority	1.0	select	3.0	nature	4.0	musixmatch	1.0	read	3.0	prevent	8	center	5.0	england	2.0	suspend	2.0	party dispute resolution provider	4.0	information commissioners	1.0	connect	2.0	research	4.0	countriemay	1.0	instal	2.0
206	shall	13.0	verification	4.0	protection	1.0	select	3.0	fee	4.0	protection	1.0	read	3.0	profile setting	4.0	authority	1.0	fulfil	3.0	oppose	8	operation	5.0	great	2.0	defend	2.0	permission	4.0	sunnyvale	1.0	appoint	2.0	limitation	4.0	designated	1.0	issue	2.0
207	amend	13.0	residence place	4.0	personal information protection act	1.0	read	3.0	verification	4.0	personal information protection act	1.0	fulfil	3.0	fee	4.0	protection	1.0	compromise	3.0	freedom	8	research	4.0	west	2.0	lift	2.0	department	4.0	california privacy rights	1.0	supervise	2.0	requirement	4.0	livu	1.0	destroy	2.0
208	provider	13.0	server	4.0	gdask poland	1.0	fulfil	3.0	residence place	4.0	zacna	1.0	compromise	3.0	verification	4.0	personal information protection act	1.0	login	3.0	recipient	8	dpo	4.0	brentford	2.0	terminate	2.0	office	4.0	privacy tubi inc	1.0	keep	2.0	nature	4.0	clara	1.0	e	2.0
209	mean	13.0	datum protection law	4.0	street	1.0	compromise	3.0	server	4.0	street	1.0	login	3.0	residence place	4.0	zacna	1.0	attempt	3.0	product	8	entity	4.0	middlesex	2.0	oblige	2.0	withdrawal	4.0	montgomery street	1.0	possess	2.0	regard	4.0	santa	1.0	reset	2.0
210	retain	13.0	party dispute resolution provider	4.0	zacna	1.0	login	3.0	datum protection law	4.0	gdask poland	1.0	attempt	3.0	server	4.0	street	1.0	review delete	3.0	choose	8	limitation	4.0	tw8	2.0	involve	2.0	registration	4.0	twitter inc	1.0	publish	2.0	photo	4.0	circle	1.0	join	2.0
211	activity	13.0	feedback	4.0	app	1.0	attempt	3.0	party dispute resolution provider	4.0	app	1.0	review delete	3.0	datum protection law	4.0	gdask poland	1.0	place	3.0	withdraw consent	8	requirement	4.0	mcdonald	2.0	violate	2.0	datum subject	4.0	twitter	1.0	correct update amend	2.0	fee	4.0	freedom	1.0	open	2.0
212	instruction	13.0	permission	4.0	camsurf	1.0	review delete	3.0	feedback	4.0	camsurf	1.0	place	3.0	party dispute resolution provider	4.0	app	1.0	gather	2.0	forget	8	nature	4.0	freeview	2.0	restore	2.0	handling	4.0	principles	1.0	accommodate	2.0	verification	4.0	laws	1.0	connect	2.0
213	help	13.0	department	4.0	carx technologies limited	1.0	place	3.0	permission	4.0	carx technologies limited	1.0	gather	2.0	feedback	4.0	camsurf	1.0	reject	2.0	office	8	regard	4.0	t	2.0	instruct	2.0	error	4.0	jams	1.0	alert	2.0	server	4.0	mobisystems	1.0	supervise	2.0
214	emailand	13.0	registration	4.0	user experience improvement program location access	1.0	gather	2.0	department	4.0	user experience improvement program location access	1.0	reject	2.0	permission	4.0	carx technologies limited	1.0	bring	2.0	live	8	photo	4.0	mortimer	2.0	instal	2.0	statement	4.0	site applications	1.0	reserve	2.0	state	4.0	flurry	1.0	keep	2.0
215	business	13.0	datum subject	4.0	mi account	1.0	reject	2.0	registration	4.0	mi account	1.0	bring	2.0	department	4.0	user experience improvement program location access	1.0	suspend	2.0	choice	8	fee	4.0	picsart	2.0	issue	2.0	block	4.0	services	1.0	communicate	2.0	permission	4.0	partners	1.0	publish	2.0
216	add	12.0	handling	4.0	bluehole pnix	1.0	bring	2.0	datum subject	4.0	bluehole pnix	1.0	suspend	2.0	registration	4.0	mi account	1.0	defend	2.0	instruction	8	verification	4.0	roebuck	2.0	reset	2.0	service support	4.0	google play /apple app store	1.0	dispute	2.0	process	4.0	twitters	1.0	accommodate	2.0
217	accord	12.0	error	4.0	european economic area canada costa rica	1.0	suspend	2.0	handling	4.0	european economic area canada costa rica	1.0	defend	2.0	datum subject	4.0	bluehole pnix	1.0	lift	2.0	california resident	8	server	4.0	smethwick	2.0	join	2.0	response	4.0	ellation inc.	1.0	understand	2.0	experience	4.0	kg	1.0	alert	2.0
218	inaccuracy	12.0	statement	4.0	discord	1.0	defend	2.0	error	4.0	discord	1.0	lift	2.0	handling	4.0	european economic area canada costa rica	1.0	terminate	2.0	example	8	state	4.0	b66	2.0	designate	2.0	datum portability	4.0	market st	1.0	produce	2.0	withdrawal	4.0	solutions	1.0	communicate	2.0
219	public	12.0	block	4.0	lockhart ro wan chai h.k	1.0	lift	2.0	statement	4.0	lockhart ro wan chai h.k	1.0	terminate	2.0	error	4.0	discord	1.0	oblige	2.0	violation	8	permission	4.0	drogheda	2.0	open	2.0	abuse	4.0	rue pierre picard	1.0	obligate	2.0	procedure	4.0	carly	1.0	dispute	2.0
220	technically	12.0	service support	4.0	rm	1.0	terminate	2.0	block	4.0	lockhart	1.0	oblige	2.0	statement	4.0	lockhart ro wan chai h.k	1.0	involve	2.0	view	8	process	4.0	head	2.0	connect	2.0	body	4.0	dashlane sas	1.0	select	2.0	point	4.0	alliances	1.0	understand	2.0
221	dpo	12.0	datum portability	4.0	lockhart	1.0	involve	2.0	service support	4.0	rm	1.0	involve	2.0	block	4.0	lockhart	1.0	violate	2.0	question concern	8	experience	4.0	management	2.0	supervise	2.0	category	4.0	advertising id	1.0	report	2.0	handling	4.0	ecuries	1.0	produce	2.0
222	enable	12.0	confirmation	4.0	clicktouch games	1.0	oblige	2.0	datum portability	4.0	clicktouch games	1.0	violate	2.0	service support	4.0	rm	1.0	restore	2.0	profiling	8	procedure	4.0	grci	2.0	keep	2.0	function	4.0	apple ios	1.0	endeavour	2.0	error	4.0	petites	1.0	obligate	2.0
223	unlawfully	12.0	performance	4.0	dvapps ab	1.0	violate	2.0	confirmation	4.0	dvapps ab	1.0	restore	2.0	datum portability	4.0	clicktouch games	1.0	instruct	2.0	processing activity	8	point	4.0	governance	2.0	publish	2.0	end	4.0	google android	1.0	play	2.0	block	4.0	des	1.0	hear	2.0
224	person	12.0	abuse	4.0	dvloper	1.0	restore	2.0	abuse	4.0	dvloper	1.0	instruct	2.0	abuse	4.0	dvapps ab	1.0	instal	2.0	disable	7	handling	4.0	boyne	2.0	accommodate	2.0	explanation	4.0	california civil code section	1.0	prefer	2.0	id	4.0	r2games	1.0	endeavour	2.0
225	site	12.0	body	4.0	limassol cyprus	1.0	instruct	2.0	body	4.0	krinou street	1.0	instal	2.0	body	4.0	dvloper	1.0	issue	2.0	base	7	error	4.0	bull	2.0	alert	2.0	list	4.0	state	1.0	correct delete	2.0	analytic	4.0	club	1.0	play	2.0
226	registration	12.0	effect	4.0	easybrain ltd	1.0	instal	2.0	effect	4.0	easybrain ltd	1.0	issue	2.0	assistance	4.0	krinou street	1.0	e	2.0	entitle	7	block	4.0	ring	2.0	reserve	2.0	question concern	4.0	duolingo	1.0	restrict stop	2.0	technology	4.0	point	1.0	prefer	2.0
227	work	12.0	assistance	4.0	krinou street	1.0	de	2.0	assistance	4.0	limassol cyprus	1.0	access correct	2.0	problem	4.0	easybrain ltd	1.0	access correct	2.0	datum delete	7	id	4.0	lagavooren	2.0	communicate	2.0	exercise	4.0	bbb eu privacy shield	1.0	fix	2.0	line	4.0	prof	1.0	fix	2.0
228	infringement	12.0	problem	4.0	oval	1.0	issue	2.0	problem	4.0	oval	1.0	complete include	2.0	category	4.0	limassol cyprus	1.0	complete include	2.0	datum controller	7	analytic	4.0	netflix	2.0	dispute	2.0	interaction	4.0	data protection	1.0	cease	2.0	abuse	4.0	eprivacy	1.0	vary	2.0
229	place	12.0	category	4.0	technopark perm	1.0	access correct	2.0	category	4.0	technopark perm	1.0	reset	2.0	function	4.0	oval	1.0	reset	2.0	machine	7	technology	4.0	temasek	1.0	understand	2.0	help service	4.0	stockholm sweden	1.0	stay	2.0	demand	4.0	tandem	1.0	stay	2.0
230	associate	12.0	function	4.0	stakhanovskaya	1.0	complete include	2.0	function	4.0	stakhanovskaya	1.0	join	2.0	end	4.0	technopark perm	1.0	join	2.0	ico	7	line	4.0	suntec	1.0	produce	2.0	drawer	4.0	brunnsgatan	1.0	invoke	2.0	assistance	4.0	china	1.0	invoke	2.0
231	online	12.0	end	4.0	company	1.0	reset	2.0	end	4.0	company	1.0	rectify erase	2.0	explanation	4.0	stakhanovskaya	1.0	rectify erase	2.0	datum collect	7	abuse	4.0	jagex	1.0	obligate	2.0	sharing	3.0	gametion technologies pvt ltd	1.0	live work	2.0	category	4.0	sichuan	1.0	welcome	2.0
232	inquiry	12.0	explanation	4.0	findnow	1.0	join	2.0	explanation	4.0	findnow	1.0	designate	2.0	list	4.0	company	1.0	designate	2.0	option	7	demand	4.0	para	1.0	hear	2.0	browser setting	3.0	eu representative	1.0	serve	2.0	making	4.0	tianfu	1.0	solve	2.0
233	communication	12.0	list	4.0	strovolos nicosia cyprus	1.0	rectify erase	2.0	list	4.0	strovolos avenue petousis	1.0	open	2.0	question concern	4.0	findnow	1.0	open	2.0	manage	7	problem	4.0	jaumos	1.0	endeavour	2.0	agreement	3.0	liverpool street london ec2 m	1.0	correspond	2.0	end	4.0	chengdu	1.0	serve	2.0
234	view	12.0	question concern	4.0	strovolos avenue petousis	1.0	designate	2.0	question concern	4.0	strovolos nicosia cyprus	1.0	reside work	2.0	exercise	4.0	strovolos avenue petousis	1.0	reside work	2.0	export	7	category	4.0	apps	1.0	play	2.0	remedy	3.0	dpo centre	1.0	depend	2.0	explanation	4.0	co.	1.0	depend	2.0
235	20	11.0	exercise	4.0	personal data protection	1.0	open	2.0	exercise	4.0	personal data protection	1.0	connect	2.0	clause	4.0	strovolos nicosia cyprus	1.0	connect	2.0	amend	7	making	4.0	designated	1.0	prefer	2.0	customer service	3.0	gogogame	1.0	detail	2.0	web	4.0	tap4fun	1.0	detail	2.0
236	21	11.0	clause	4.0	commissioner	1.0	reside work	2.0	clause	4.0	commissioner	1.0	supervise	2.0	preference	4.0	personal data protection	1.0	supervise	2.0	browser	7	end	4.0	countriemay	1.0	fix	2.0	game setting	3.0	data protection good catch ltd shepherds building central charecroft way shepherds bush london w14	1.0	perform	2.0	clause	4.0	ted	1.0	assist	2.0
237	eea	11.0	preference	4.0	legal	1.0	connect	2.0	preference	4.0	legal	1.0	keep	2.0	safeguard	4.0	commissioner	1.0	keep	2.0	writing	7	explanation	4.0	freedom	1.0	vary	2.0	owner	3.0	beechavenue	1.0	assist	2.0	interaction	4.0	sites	1.0	perform	2.0
238	term	11.0	safeguard	4.0	genera games s.l cardenal bueno monreal	1.0	supervise	2.0	safeguard	4.0	genera games s.l cardenal bueno monreal	1.0	publish	2.0	interaction	4.0	legal	1.0	publish	2.0	agree	7	web	4.0	circle	1.0	stay	2.0	hindrance	3.0	schiphol	1.0	modify update	2.0	drawer	4.0	mateo	1.0	search	2.0
239	disclosure	11.0	interaction	4.0	sevilla spain	1.0	keep	2.0	interaction	4.0	sevilla spain	1.0	correct update amend	2.0	help service	4.0	genera games s.l cardenal bueno monreal	1.0	correct update amend	2.0	process base	7	clause	4.0	santa	1.0	invoke	2.0	dpo	3.0	rijk	1.0	record	2.0	agreement	3.0	real	1.0	say	2.0
240	verify	11.0	help service	4.0	planta	1.0	publish	2.0	help service	4.0	planta	1.0	accommodate	2.0	letter	4.0	sevilla spain	1.0	accommodate	2.0	contest	7	interaction	4.0	clara	1.0	solve	2.0	protection	3.0	data privacy officer	1.0	execute	2.0	remedy	3.0	tile	1.0	hope	2.0
241	permit	11.0	letter	4.0	geozilla	1.0	correct update amend	2.0	letter	4.0	geozilla	1.0	alert	2.0	drawer	4.0	planta	1.0	alert	2.0	european union	7	password	4.0	laws	1.0	serve	2.0	para	3.0	office ofdata protection	1.0	constitute	2.0	version	3.0	camino	1.0	supply	2.0
242	possible	11.0	drawer	4.0	microsoft chief privacy officer	1.0	accommodate	2.0	drawer	4.0	eu data protection officer	1.0	communicate	2.0	browser setting	3.0	geozilla	1.0	communicate	2.0	jurisdiction	7	drawer	4.0	mobisystems	1.0	depend	2.0	entry	3.0	huuuges	1.0	pursue	2.0	hindrance	3.0	el	1.0	record	2.0
243	consider	11.0	browser setting	3.0	eu data protection officer	1.0	alert	2.0	browser setting	3.0	microsoft chief privacy officer	1.0	dispute	2.0	sharing	3.0	microsoft chief privacy officer	1.0	dispute	2.0	notice	7	agreement	3.0	flurry	1.0	detail	2.0	effort	3.0	president	1.0	protect	2.0	dpo	3.0	e14	1.0	execute	2.0
244	undue	11.0	sharing	3.0	healthvault	1.0	communicate	2.0	sharing	3.0	healthvault	1.0	understand	2.0	agreement	3.0	eu data protection officer	1.0	understand	2.0	ability	7	remedy	3.0	mopubs	1.0	fill	2.0	avatar	3.0	huuuge	1.0	result	1.0	para	3.0	twitch	1.0	constitute	2.0
245	charge	11.0	agreement	3.0	instagram	1.0	dispute	2.0	agreement	3.0	instagram	1.0	produce	2.0	remedy	3.0	healthvault	1.0	produce	2.0	contract	7	version	3.0	partners	1.0	assist	2.0	privacy right	3.0	huuugegroup	1.0	gather	1.0	entry	3.0	estonia	1.0	pursue	2.0
246	preference	11.0	remedy	3.0	customer center	1.0	understand	2.0	remedy	3.0	customer center	1.0	obligate	2.0	customer service	3.0	instagram	1.0	obligate	2.0	allow	7	hindrance	3.0	twitters	1.0	perform	2.0	photo	3.0	huuuge games sp	1.0	reject	1.0	avatar	3.0	tallinn	1.0	act	2.0
247	link	11.0	customer service	3.0	privacy protection department	1.0	produce	2.0	customer service	3.0	netmarble	1.0	endeavour	2.0	game setting	3.0	customer center	1.0	endeavour	2.0	download	7	para	3.0	kg	1.0	search	2.0	newsletter	3.0	twitter inc.	1.0	impact	1.0	regulation	3.0	sepapaja	1.0	sell	2.0
248	dispute	11.0	game setting	3.0	netmarble	1.0	obligate	2.0	game setting	3.0	privacy protection department	1.0	play	2.0	version	3.0	netmarble	1.0	play	2.0	question relate	6	entry	3.0	carly	1.0	say	2.0	feedback	3.0	data protection officerone cumberland place fenian streetdublin	1.0	assert exercise	1.0	forum	3.0	vertigo	1.0	adapt	1.0
249	google	11.0	version	3.0	yazio	1.0	endeavour	2.0	version	3.0	yazio	1.0	prefer	2.0	hindrance	3.0	privacy protection department	1.0	prefer	2.0	letter	6	avatar	3.0	solutions	1.0	hope	2.0	display	3.0	market street suite 900san francisco	1.0	terminate	1.0	display	3.0	b.v.s	1.0	result	1.0
250	locate	11.0	hindrance	3.0	eu local representative	1.0	play	2.0	hindrance	3.0	eu local representative	1.0	correct delete	2.0	protection	3.0	yazio	1.0	correct delete	2.0	prejudice	6	newsletter	3.0	paypal	1.0	exist	2.0	exemption	3.0	ireland	1.0	oblige	1.0	entity	3.0	contextlogic	1.0	govern	1.0
251	register	11.0	protection	3.0	icbc business	1.0	prefer	2.0	protection	3.0	icbc business	1.0	restrict stop	2.0	para	3.0	eu local representative	1.0	restrict stop	2.0	data protection law	6	regulation	3.0	alliances	1.0	supply	2.0	number	3.0	twitter international companys	1.0	breach	1.0	exemption	3.0	zynga	1.0	dedicate	1.0
252	california	11.0	para	3.0	icbc mobile banking	1.0	correct delete	2.0	para	3.0	icbc mobile banking	1.0	fix	2.0	entry	3.0	icbc business	1.0	fix	2.0	type	6	forum	3.0	petites	1.0	record	2.0	account setting section	3.0	tricor	1.0	age	1.0	cost	3.0	page	1.0	oversee	1.0
253	disclose	11.0	entry	3.0	user information policy	1.0	restrict stop	2.0	entry	3.0	user information policy	1.0	stay	2.0	effort	3.0	icbc mobile banking	1.0	stay	2.0	continue	6	display	3.0	ecuries	1.0	execute	2.0	advertising experience	3.0	mark lane london	1.0	manage review	1.0	employee	3.0	overmobile	1.0	impact	1.0
