sentence,accessNouns,rightNouns,rightVerbs,accessVerbs,rightObject,accessPrep
you can opt out of receiving commercial electronic messages such as emails from us at any time by contacting support mobilewaronlinecom,nah,['commercial electronic messages'],nah,nah,,
you can contact us by emailing email,nah,nah,nah,nah,,
our eu representative can be contacted directly by emailing them at the following address email,nah,nah,nah,nah,,
you also have the right to ask us to delete or remove your personal data where you have exercised your right to object to processing see below,nah,nah,"['ask', 'exercise', 'exercise']",nah,,
if you would like to make a complaint regarding this privacy policy or our practices in relation to your personal data please contact us at email,nah,nah,nah,nah,,
you may also contact your local data protection authority within the european economic area for unresolved complaints,nah,nah,nah,nah,,
note that if you ask us to remove your personal data we will retain your data as necessary for our legitimate business interests such as to comply with our legal obligations resolve disputes and enforce our agreements,['your data'],nah,nah,['retain'],,
if you would like to opt out of the technologies we employ on our sites services applications or tools you can do so by blocking deleting or disabling them as your browser or device permits,nah,nah,['disable'],nah,,
opt out right to restrict processing,nah,nah,nah,nah,,
you have the right to opt out of certain uses and disclosures of your personal information,nah,nah,['opt'],nah,,
you have the right to request access to and rectification or erasure of personal information or restriction of processing the right to object and the right to data portability,['data portability'],"['access', 'access']","['request', 'process', 'process']",nah,,
the general right to object applies to all types of processing described in this privacy policy,['this privacy policy'],nah,nah,nah,,
when otherwise permitted by applicable law you can open a support ticket within the games or alternatively send an email to email to request access to receive port seek rectification or request erasure of personal information held about you by zuuks games,nah,nah,nah,nah,,
if you are a parent or legal guardian of a child under the age of 13 or under 16 in certain jurisdictions in the european union who uses our games please contact us at email,nah,nah,nah,nah,,
if you have any questions about our privacy practices or this privacy policy please contact zuuks games by email at email,nah,nah,nah,nah,,
if you have any questions about the privacy practices or this privacy policy please contact zuuks games data protection officer by email at email,nah,nah,nah,nah,,
if you have questions comments or concerns regarding our privacy policy or practices please contact us,nah,nah,nah,nah,,
you can access or request deletion of your personal information by submitting a request through our personal data request portal,['our personal data request portal'],nah,nah,nah,,
you can correct or update your personal information object to processing of your personal information,nah,nah,['update'],nah,,
ask us to restrict processing of your personal information or request portability of your personal information,nah,nah,nah,nah,,
you can request a copy of or deletion of your game account data through our personal data request portal,['our personal data request portal'],nah,nah,nah,,
if you have any questions comments or concerns regarding our privacy policy andor privacy practices please send an email to email link sends email,nah,nah,nah,nah,,
for all other matters please contact zynga through our customer support page or by physical mail to zynga inc 699 8th street san francisco ca 94103,nah,nah,nah,nah,,
if you have any questions about this privacy policy or your privacy please contact us by email at email,nah,nah,nah,nah,,
if under applicable law you have the right to access information held about you such right of access can be exercised in accordance with the applicable law,nah,"['information', 'information']","['access', 'exercise']",nah,,
to make an access request please email email,nah,nah,nah,nah,,
you have the right to access your personal data and to request that it be corrected completed or updated,nah,nah,"['access', 'complete']",nah,,
you may ask to exercise your right to data portability in other words your right to receive your personal data in a frequently used structured format and your right to send such data to another processor,nah,nah,nah,nah,,
should you have any other complaint please contact the appropriate national data protection authority,nah,nah,nah,nah,,
should you have any questions concerning this privacy policy or requests concerning your personal data you can contact us,nah,nah,nah,nah,,
for any other information or clarification musixmatch can be contacted via the provided email or the email address email,nah,nah,nah,nah,,
to ask for a copy of such data,nah,nah,nah,nah,,
in any event the user has always the right to lodge a complaint with the competent authority for the protection of personal data if he believes that the processing of his data is carried out in breach of the applicable law,['any event'],nah,"['have', 'have']",nah,,
where a customer requests that corrections additions or deletions corrections etc be made to the substance of personal information pursuant to the personal information protection act due to inaccuracies in the personal information the company shall confirm that the request was made by the customer himselfherself conduct a necessary investigation without delay to the extent necessary to achieve the purpose of use make corrections etc,nah,nah,nah,['confirm'],,
to the substance of the personal information based on the result and notify the customer to that effect where it is determined that no such corrections etc,nah,nah,nah,nah,,
will be made the company shall notify the customer to that effect,nah,nah,nah,nah,,
request the access to and rectification or erasure of personal data processed by the llc webmartgroup,['the access'],['the access'],nah,nah,,
restrict the processing of personal data concerning the user,nah,nah,nah,nah,,
object to processing of personal data concerning the user,nah,nah,nah,nah,,
demand for realization of the right to data portability from the llc webmartgroup,['data portability'],nah,nah,nah,,
exercise the right to lodge a complaint with a relevant supervisory authority,nah,nah,nah,nah,,
if you have any questions relating to the present privacy policy of the llc webmartgroup or claims arising out of its application please refer them to the llc webmartgroup support service via the email email,"['the llc webmartgroup support service', 'the email email']",['any questions'],nah,['refer'],,
in case of your personal data breach please immediately contact the llc webmartgroup support service via the email email mentioning topic personal data breach in your notice with description of the accident occurred,nah,nah,nah,nah,,
the right to access update or to delete the information we have on you,['access update'],nah,nah,nah,,
whenever made possible you can access update or request deletion of your personal data directly within your account settings section,['your account settings section'],nah,nah,nah,,
the right to data portability,['data portability'],nah,nah,nah,,
if you have additional questions about alexadra games s privacy practices related to children under the applicable minimum age please contact us at email,['email'],['additional questions'],nah,nah,,
right to request access,nah,nah,"['request', 'request']",nah,,
you have the right to request access into the data that we are processing on you see article 15 of the gdpr including information about,nah,nah,nah,nah,,
furthermore you have the right to obtain a copy of the personal data undergoing processing,nah,nah,nah,nah,,
you have the right to object to our processing of your personal data on grounds relating to your particular situation when the data are processed based on the balancingof interest rule in section 6 1 f of the gdpr see article 21 of the gdpr,['f'],['f'],nah,nah,,
you have the right to object to our processing of your personal data for direct marketing purposes at any time,nah,nah,nah,nah,,
you have the right to have inaccurate personal data rectified see article 16 of the gdpr,nah,nah,nah,nah,,
furthermore you have the right to have your personal data erased where one of the following grounds applies see article 17 of the gdpr,nah,nah,nah,nah,,
the right to restriction,nah,nah,nah,nah,,
you have the right to obtain restriction of processing in certain circumstances see article 18 of the gdpr,nah,nah,nah,nah,,
if you have the right to restriction we will only process your data with your consent or for the establishment exercise or defense of a legal claim or to protect a person or important grounds of public interest,"['your consent', 'your data']",nah,nah,['process'],,
you have the right to receive the personal data you have provided us with which we process in a structured commonly used and machinereadable format and have the right to transmit those data to another controller if the processing is based on consent or contract performance see article 20 of the gdpr,nah,nah,nah,nah,,
alexadra games has the following contact information,['the following contact information'],['the following contact information'],nah,nah,,
if you wish to make a complaint over the processing of your personal data you have the right to lodge a complaint to the relevant supervisory authority,nah,nah,nah,nah,,
we offer the ability to correct or update the information collected during registration via your account settings on our website or the applicable app or by contacting support via our online support form and we rely on the accuracy of the information you provide us such as your age,['the ability'],['the ability'],['rely'],nah,,
you can access much of your information by logging into your account,['your account'],nah,nah,nah,,
you can also change restrict limit or delete much of your information by logging into your account,['your account'],nah,nah,nah,,
if we process your information based on our legitimate interests explained above or in the public interest you can object to this processing in certain circumstances,nah,nah,nah,['explain'],,
if you live in the european economic area you also have a general right to object to the use of your information for direct marketing purposes,nah,['a general right'],nah,nah,,
if you reside in the european economic area should you wish to raise a concern about our use of your information and without prejudice to any other rights you may have you have the right to do so with your local data protection authority,nah,nah,nah,nah,,
if you have any questions or comments or if you would like to exercise any statutory rights please contact us via our online support form,['our online support form'],nah,nah,nah,,
you can contact us by email email,nah,nah,nah,nah,,
you have the right to access your personal data and have it corrected if it is wrong or incomplete,nah,nah,nah,nah,,
you have the right to restrict the processing of your data where the accuracy of your personal data is contested where the processing is unlawful and where overmobile no longer needs the personal data for the purposes for which overmobile has processed it,nah,nah,nah,nah,,
you have the right to object to the processing of your personal data and also restrict its processing in those instances where overmobile undertook processing of it in carrying out a task in the public interest or where necessary for our legitimate interest where there is no compelling reason for its continued processing,['those instances'],nah,['restrict'],nah,,
you also have the right to obtain the deletion of your data when it is no longer relevant to the purposes for which it was collected or processed when you have withdrawn consent and there is no basis for us to continue processing when you have objected to further processing and there is no compelling interest for continued processing and when the data was unlawfully processed,nah,nah,nah,nah,,
any questions related to this policy can be mailed to support overmobileru,nah,nah,nah,nah,,
if you believe that we might have any information from or about a child under the age of 13 please contact us,nah,nah,nah,nah,,
you can lodge a complaint with us about any breach of our privacy policy at the address below,['the address'],nah,nah,nah,,
if you have any questions about our privacy policy please contact us at email,['email'],nah,nah,nah,,
you may delete your personal data by removing the data from your account alternatively you can delete your account,['your account'],nah,nah,nah,,
if you would like to exercise these rights please contact support service at support beingamemobilecom,nah,nah,"['exercise', 'exercise']",nah,,
we will aim to respond to you within 30 days from receipt of request,nah,nah,nah,nah,,
if you have any questions please send your inquiries to service support at support beingamemobilecom,['any questions'],nah,nah,nah,,
so we can deal with your enquiry effectively please quote this privacy policy,nah,nah,nah,nah,,
you can delete your account any time,['your account'],nah,nah,nah,,
when you delete your account we delete all information about you,['all information'],nah,nah,['delete'],,
to learn more about deleting your account just contact us at email,nah,nah,nah,nah,,
if you have questions about this policy here s how you can reach us,nah,nah,nah,['s'],,
if you have any questions or need any assistance please contact us at the address contact boomhitsgames,nah,nah,['need'],nah,,
to contact us you can write to us an email contact boomhitsgames or via traditional mail zacna 2 street 80283 gdask poland,nah,nah,nah,nah,,
remember that you have the right to object to the processing of your personal data at any time,nah,nah,nah,nah,,
requesting rectification correction of your data in justified cases,['justified cases'],['rectification correction'],nah,nah,,
requests to limit the processing of your data,nah,['the processing'],nah,nah,,
if you have any questions please contact us,nah,nah,nah,nah,,
whenever you use our services we aim to provide you with access to your personal information,['access'],nah,nah,nah,,
if that information is wrong we strive to give you ways to update it quickly or to delete it unless we have to keep that information for legitimate business or legal purposes,nah,nah,nah,nah,,
for any problem please contact us at email,nah,nah,nah,nah,,
if any questions will remain unanswered please contact us at support bettermetips,nah,nah,nah,nah,,
accessing reviewing updating correcting your personal data,nah,nah,nah,nah,,
you may review edit or change the personal data that you had previously provided to us in the profile section of the app,nah,nah,nah,nah,,
you may also request a copy of your personal data collected during your use of the app at support bettermetips,['a copy'],nah,nah,nah,,
deleting your personal data,['your personal data'],nah,nah,nah,,
you can request erasure of your personal data by sending us an email at support bettermetips,['an email'],['erasure'],nah,nah,,
objecting to or restricting the use of your personal data,nah,nah,nah,nah,,
the right to lodge a complaint with supervisory authority,['supervisory authority'],nah,nah,nah,,
nevertheless you have the right to lodge a complaint with a competent data protection supervisory authority in particular in the eu member state where you reside work or where the alleged infringement has taken place,nah,nah,nah,nah,,
if you wish to receive your personal data in a machinereadable format you can do so by requesting a copy of your personal data as described above or send respective request at support bettermetips,nah,nah,nah,nah,,
if you learn that anyone younger than 16 has provided us with personal data please contact us at support bettermetips,['personal data'],nah,nah,nah,,
for any questions concerning your account or your personal data please contact us at support bettermetips,nah,nah,nah,nah,,
if you have connected your facebook account or used your email for registration in our app or entered your name in the app section manage personal data in the app s settings will be available to you,nah,nah,nah,nah,,
you may select remove data there and we will delete the personal data collected from you,nah,nah,nah,nah,,
you can ask us to stop using all or some of your personal data or limit our use thereof by requesting its erasure as described above or sending a request at support bettermetips,nah,nah,nah,nah,,
we have appointed a privacy officer who can be reached by contacting us at email,['a privacy officer'],nah,"['appoint', 'appoint']",nah,,
if you have any questions about communications features you may contact camsurf at email,['email'],nah,nah,nah,,
if you believe we might have any information from or about a child under 13 please contact us email,['any information'],nah,nah,nah,,
if you have questions about this privacy policy please email us at email,['email'],nah,nah,nah,,
if you want to know what information we hold about you or if you have any other queries in relation to this privacy policy please contact us in writing,['relation'],['any other queries'],"['hold', 'hold']",nah,,
our contact information is below,nah,nah,nah,nah,,
you have the right to refuse to be a subject to a decision based solely on automated processing including profiling,nah,nah,nah,nah,,
right of access right to obtain from carx technologies limited as the controller confirmation as to whether your personal data are being processed and other information concerning your personal data including information about the purposes of processing the categories of processed personal data the categories of recipients of your personal data the period of personal data storage the existence of automated decisionmaking including profiling in respect of your personal data,['respect'],"['the categories', 'the categories', 'the period']",nah,nah,,
right to lodge a complaint with a supervisory authority a supervisory authority is a state authority in your country which supervises the compliance with gdpr by legal and natural persons that process personal data of data subjects,['a supervisory authority'],nah,nah,nah,,
right to rectification right to the rectification of inaccurate personal data concerning you in accordance with section 10 privacy policy,nah,nah,nah,nah,,
right to erasure right to obtain the erasure of personal data concerning you in accordance with section 10 privacy policy,nah,nah,"['erasure', 'erasure']",['erasure'],,
you are entitled to see the information we hold about you and you may ask us to make any necessary changes or rectifications to ensure that it is accurate and kept up to date,nah,nah,"['see', 'see']",nah,,
if you wish to do this please contact us in writing using the information provided above,['writing'],nah,nah,nah,,
if you would like to have your information deleted please contact us,nah,nah,nah,nah,,
if you have any questions about this policy you can contact us at email email,['email email'],nah,nah,nah,,
therefore we provide examples of ways we make available for you to choose to restrict the collection use disclosure or processing of your personal data and control your privacy settings such as controlling the settings under the user experience improvement program location access functions and your mi account,['examples'],['examples'],nah,nah,,
access updating or correcting your personal data,nah,nah,nah,nah,,
you have the right to request access andor correction or any other personal data that we hold about you,nah,nah,nah,nah,,
if you believe any information we are holding on you is incorrect or incomplete please write to or email us as soon as possible at the email address below,nah,nah,nah,['write'],,
if you want to delete any personal data which we have shared with the third parties please contact our data protection officer by email at,"['email', 'our data protection officer']",['any personal data'],nah,nah,,
tools and account settings that help you to access rectify or delete information that you provided to us and that s associated with your account directly within the service,nah,nah,"['delete', 'delete']",nah,,
you can request a copy of your personal information by contact us via email at the end of this privacy policy,nah,nah,nah,nah,,
if you believe that the information we hold about you is inaccurate or that we are no longer entitled to use it and want to request its rectification deletion or object to its processing please contact us via email at the end of this privacy policy,"['email', 'the end']",nah,nah,nah,,
if yo have any questions or concerns about our privacy policy or data processing please contact us at facehunterlee gmailcom,['facehunterlee gmailcom'],nah,nah,nah,,
you may lodge a complaint with a supervisory authority if you consider that our processing of your personal data infringes applicable law,['a supervisory authority'],nah,nah,nah,,
if you believe that we might have any information from a child under 13 or such legally required age of consent for juveniles as defined under applicable laws please contact us at email,['email'],nah,nah,nah,,
in summary you may request access to your data rectification of any mistakes in our files erasure of records where no longer required restriction on the processing of your data objection to the processing of your data data portability and various information in relation to any automated decision making and profiling or the basis for international transfers,['your data rectification'],nah,nah,nah,,
you also have the right to complain to your supervisory authority further details of which are set out in section 11 below,nah,nah,nah,nah,,
confirm whether we are processing your personal data,nah,nah,nah,nah,,
give you a copy of that data,['a copy'],nah,"['give', 'give']",nah,,
you can ask us to rectify inaccurate personal data,nah,nah,nah,nah,,
we may seek to verify the accuracy of the data before rectifying it,nah,nah,nah,nah,,
you can ask us to erase your personal data but only where,nah,nah,nah,nah,,
following a successful right to object see “objection”below or,nah,nah,"['follow', 'follow']",nah,,
you can ask us to restrict ie,nah,nah,nah,nah,,
keep but not use your personal data but only where,nah,nah,nah,nah,,
you have exercised the right to object and verification of overriding grounds is pending,nah,nah,['pende'],nah,,
you can ask us to provide your personal data to you in a structured commonly used machinereadable format or you can ask to have it “ported”directly to another data controller but in each case only where the processing is based on your consent or the performance of a contract with you and the processing is carried out by automated means,nah,nah,nah,nah,,
you can object to any processing of your personal data which has our legitimate interests as its legal basis see section 3 or contact us for further details if you believe your fundamental rights and freedoms outweigh our legitimate interests,"['any processing', 'see section']",['see section'],['contact'],nah,,
if you have any issue arising from this policy including requests to exercise data subject rights you can contact us at support page,['support page'],['any issue'],nah,nah,,
you also have a right to lodge a complaint with your national data protection supervisory authority at any time,nah,nah,nah,nah,,
if you have any questions about this privacy policy please contact us at email,['email'],nah,nah,nah,,
to request removal of your personal information from our blogs or forums please contact us at email,['email'],['removal'],nah,nah,,
if you no longer wish to allow us to share your information with third parties please contact us at email,['email'],nah,nah,nah,,
if you have any questions about this policy please contact us at email,['email'],nah,nah,nah,,
if yours or your child s personally identifiable information changes or if you no longer desire our service you may correct update delete inaccuracies or remove it by making the change on our member information page or by emailing us at email,nah,['delete inaccuracies'],"['correct', 'correct']",nah,,
parents have the right to access their child s information,nah,nah,nah,nah,,
request to have it deleted,nah,nah,nah,nah,,
if you have any questions or concerns regarding this policy would like to modify the communications option update or refer to your personal information we possess or withdraw your decision to allow us to collect use or publish your personal information please feel free to contact us at any time,nah,nah,nah,['like'],,
right to access your information,nah,nah,"['access', 'access']",nah,,
you may be entitled to request copies of personal information that you have provided to us in a structured commonly used and machinereadable format,nah,['copies'],"['request', 'request']",nah,,
you have the right to ask us to correct inaccurate or incomplete personal information concerning you,nah,nah,nah,nah,,
if you no longer want us to use your information to provide our services to you you can request that we erase your personal information and close your account,nah,['our services'],"['use', 'use']",nah,,
you have the right to obtain from the controller restriction of processing one of the following appliers,nah,nah,nah,nah,,
you may be entitled to request us to transmit this information to another service provider where technically feasible,nah,nah,"['transmit', 'transmit']",nah,,
you have the right to object on grounds relating your particular situation at any time to processing of personal data which is based on point e or f of gdpr article 6 1 including based on those provisions,nah,nah,nah,nah,,
you may exercise any of the rights described in this section by sending an email to pnixsupport gmailcom,['an email'],nah,nah,nah,,
if you believe that we might have any information from or about a child under the age of 13 please contact us at pnixsupport gmailcom,['pnixsupport gmailcom'],nah,nah,nah,,
the identity and contact detail of the bluehole pnix is,nah,nah,nah,nah,,
you may also email us so if you have any questions about this policy please contact us at pnixsupport gmailcom,['pnixsupport gmailcom'],nah,nah,nah,,
if you want to delete any personal data which we have shared with the third parties please contact our data protection officer by email at email,['email'],nah,nah,nah,,
you have the right to access modify correct or delete any personal data which we may have collected,nah,nah,nah,nah,,
obtain restriction of processing or to object to processing of your personal information,['restriction'],['restriction'],nah,nah,,
ask for a copy of your personal information to be provided in a digital format,nah,nah,nah,nah,,
you also have the right to lodge a complaint about the processing of your personal information with your local data protection authority in the eea,nah,nah,nah,nah,,
to exercise this right please contact our data protection officer by email at email,nah,nah,nah,nah,,
if you have any questions or concerns about our privacy policy or data processing please contact us at email,['email'],nah,nah,nah,,
if you would like to remove any personal data we share with third parties please contact our data protection officer by email facemenow2018 gmailcom,['email facemenow2018 gmailcom'],nah,nah,nah,,
you have the right to access modify correct or delete any personal information we may collect,nah,nah,nah,nah,,
i request access to and correct or delete your personal information,['access'],nah,nah,nah,,
ii acquisition processing restrictions or opposition to the processing of your personal information,nah,nah,nah,nah,,
iii require that a copy of your personal information in a digital format,"['a copy', 'a digital format']",nah,"['require', 'require']",nah,,
you have the right to submit a complaint about the handling of your personal information to the local data protection authorities in the eea,nah,nah,nah,nah,,
to exercise this right please contact our data protection officer by email email,nah,nah,nah,nah,,
if you have any questions about our privacy policy or data processing or concerns please contact us by email,['email'],nah,nah,nah,,
to exercise this right please contact us by email at email,['email'],nah,nah,nah,,
to exercise these rights please contact us by email at email,['email'],nah,nah,nah,,
if you have any questions or concerns with respect to any matter covered by this privacy policy you may contact us by email at email,['email'],nah,nah,nah,,
in addition if at any time you wish not to receive any future marketing communications or you wish to have your name deleted from our mailing lists please contact us as indicated below,nah,['any future marketing communications'],nah,nah,,
if you are a parent or guardian of a child under the age of 13 and believe he or she has disclosed personal information to us please contact us at email,nah,nah,"['disclose', 'disclose']",nah,,
individuals in the european economic area canada costa rica and some other jurisdictions outside the united states have certain legal rights to obtain confirmation of whether we hold personal data about them to access personal data we hold about them including in some cases in portable form and to obtain its correction update amendment or deletion in appropriate circumstances,nah,['certain legal rights'],nah,nah,,
hey may also object to our uses or disclosures of personal data,['our uses'],nah,nah,nah,,
to request a restriction on its processing,['a restriction'],['a restriction'],nah,nah,,
if you would like to submit a data access request you can do so from the settings page of the services where there is a button to download your data,nah,nah,nah,nah,,
how do i correct update amend or delete the personal data you have about me,['update amend'],['update amend'],nah,nah,,
in addition to the functionality available through the settings of the services in which you can correct update amend or delete certain personal data you can also request other modifications from us directly,nah,"['certain personal data', 'other modifications']","['request', 'request']",nah,,
please write us at email with the words personal data request in the subject or body of your message along with an explanation of what data subject right you are seeking to exercise,nah,nah,nah,nah,,
you have a right to ask us to stop using or limit our use of your personal data in certain circumstancesfor example if we have no lawful basis to keep using your data or if you think your personal data is inaccurate,nah,nah,nah,nah,,
discord offers you the ability to restrict the processing of your data for specific uses which you can find in the settings page of the services,['the ability'],nah,nah,nah,,
in addition to those rights you have the right to lodge a complaint with the relevant supervisory authority,['the relevant supervisory authority'],nah,['lodge'],nah,,
you may contact us as follows email,nah,nah,nah,nah,,
to opt out of emails from us please follow the unsubscribe instructions contained in the relevant emails or contact us at email,nah,nah,nah,nah,,
you can request copies of your personal information held by us,['copies'],nah,nah,nah,,
where you can not update data by yourself through your account you have the right to ask us to correct change update or rectify your data,nah,nah,nah,nah,,
you have the right to ask us to delete all or some of the personal data we hold about you,nah,nah,nah,nah,,
if you have an account you can also delete your account at any time,['your account'],['an account'],nah,nah,,
under certain circumstances you may have the right to limit the ways in which we use your personal information,nah,nah,nah,nah,,
if you are a resident of the state of california and want to receive such a list please contact us through the email displayed below,nah,['such a list'],nah,nah,,
if you have any questions about security of our app you can contact us at through the email displayed below,['the email'],nah,nah,nah,,
if you have any questions about this privacy policy please feel free to contact us at email,nah,nah,nah,['feel'],,
our mailing address is rm 19c lockhart ctr 301307 lockhart ro wan chai hk,nah,nah,nah,nah,,
our customer service email address is cs clicktouchcc,nah,nah,nah,nah,,
if you have any question about this privacy policy or think clicktouch games is not abiding by its posted privacy policy you should contact us by email at cs clicktouchcc,['any question'],['any question'],['think'],nah,,
if you have any questions regarding privacy while using the dvloper dvapps ab applications or have questions about our practices please contact us via email at email,['email'],nah,nah,nah,,
the data controller is easybrain ltd with a registered address at 3 krinou street 6th floor the oval 4103 limassol cyprus,nah,nah,nah,nah,,
access personal data we hold about you,nah,nah,nah,nah,,
you have the right to request access to your personal data collected through our services,nah,nah,nah,nah,,
following your request we will provide you a copy of your personal data in an electronic format,['an electronic format'],nah,nah,nah,,
you also have other rights such as to correct your data have your data deleted,nah,['other rights'],nah,nah,,
object how we use or share your data,nah,nah,nah,nah,,
and restrict how we use or share your data,nah,nah,nah,nah,,
you can also send us an email at email however we may still redirect you to make the same request through the inapp support feature or we may request additional information in order to accommodate your request,nah,nah,nah,nah,,
if you have any questions about this privacy policy please contact us using the inapp support feature in our services which is the preferred method to be able to quickly respond you your requests or contact our data protection officer at the address provided below,nah,nah,nah,nah,,
if you have any questions or suggestions about my privacy policy do not hesitate to contact me at email,nah,nah,nah,['hesitate'],,
if you have any questions about this policy you can contact us facecam boochat,"['facecam', 'boochat']",nah,nah,nah,,
if you no longer want us to use your information that we physically access and store you can request that we erase your personal information and close your account,nah,nah,"['use', 'use']",nah,,
in compliance with legal provisions you have a general right to access edit and delete your personal information which have been collected pursuant to your access to andor use of the service,['compliance'],['a general right'],nah,nah,,
if you believe that we might have any information from or about a child under the minimum age please contact us through the email displayed below,['the email'],nah,nah,nah,,
if you have any questions about the service or this privacy policy or if you would like to obtain a previous version of the current document feel free to contact us at email,nah,nah,['like'],['feel'],,
if you have any questions about security of our mobile applications you can contact us at email,['any questions'],nah,nah,nah,,
if you have questions about this policy please contact us at support enjoyglobalcom,['support'],nah,nah,nah,,
in the event of any claims regarding the use of personal data or if you have any questions regarding your personal data you can contact the company at any time at,"['the event', 'the company']",nah,nah,nah,,
stakhanovskaya 54 building p technopark perm support findmykidsorg,nah,nah,nah,nah,,
parent may contact us in order to review and or delete any personal information the company have collected regarding the child or cancel permission to collect the additional information regarding the child,['order'],nah,nah,nah,,
please contact us at support findmykidsorg,['support findmykidsorg'],nah,nah,nah,,
you can change the account information update or modify your personal information by login to your account,['the account information update'],nah,"['change', 'change']",nah,,
if you have any questions regarding viewing or changing your profile you can contact us directly at support findmykidsorg,['support findmykidsorg'],nah,nah,nah,,
if you have any questions regarding thirdparty tracking and advertising you can contact us directly at support findmykidsorg,['support findmykidsorg'],nah,nah,nah,,
findnow may renew correct or delete on its discretion or on your demand the incomplete inaccurate or invalid information kept by findnow relating to the provision of the services,nah,['the incomplete inaccurate or invalid information'],"['delete', 'delete']",nah,,
if you learn that a child has provided us with personal information in violation of this privacy policy then you may alert us at email,nah,nah,nah,nah,,
you can update your account and profile information or close your account through settings within the services,['settings'],nah,['close'],nah,,
if you have questions about your privacy on the services or this privacy policy please contact us at email,['email'],nah,nah,nah,,
i a right to access your information as held by us,['your information'],nah,"['access', 'access']",['access'],,
ii a right to receive certain information in machinereadable format,['machinereadable format'],['certain information'],nah,nah,,
iii a right to object to processing where the lawful basis is that it is in our legitimate interests but please note that we may still process your information where there are other relevant lawful bases or where we have compelling grounds to continue processing your information in our interests which are not overridden by your rights interests or freedoms,['our interests'],['compelling grounds'],"['process', 'process']",nah,,
iv a right to have inaccurate information rectified,nah,nah,"['iv', 'iv']",nah,,
v a right to have certain information erased where it is no longer necessary for us to process it where you have withdrawn your consent pursuant to paragraph viii where you have objected pursuant to paragraph iii where your information has been unlawfully processed or where erasing your information is required in accordance with a legal obligation,nah,nah,"['erase', 'erase']",nah,,
vii a right to complain to your national data protection regulator,nah,nah,nah,nah,,
a right to object to direct marketing which can be done by optingout of direct marketing either through your account or by opting out via the communication itself,nah,nah,nah,nah,,
you also have a right to object to any profiling to the extent that it relates to direct marketing only,nah,nah,nah,nah,,
we have appointed a data protection officer dpo who is responsible for all requests relating to the privacy of your information,['a data protection officer dpo'],['a data protection officer dpo'],nah,nah,,
if you would like to exercise any of your rights then you can do so by contacting us as at email,nah,nah,nah,nah,,
if you have any questions comments complaints or concerns about our processing activities please email us at email or write to us at 146148 strovolos avenue petousis building 2048 strovolos nicosia cyprus,nah,nah,nah,['comment'],,
you may contact the office of the commissioner for personal data protection url,['the office'],['the office'],nah,nah,,
request access to all personal data we process about you,['all personal data'],nah,nah,nah,,
request that we correct any personal data we process about you that are inaccurate incomplete or outdated,nah,nah,nah,nah,,
object to the processing of your personal data if you have serious and legitimate reasons relating to your specific circumstances that justify such an objection,nah,['serious and legitimate reasons'],nah,nah,,
request that we delete all personal data we process about you if those data are no longer necessary for the purposes for which they were collected,nah,['all personal data'],nah,nah,,
request that the processing of your personal data be restricted,nah,nah,nah,nah,,
obtain your personal data from us in a structured commonly used and machinereadable form,"['your personal data', 'commonly used and machinereadable form']",['commonly used and machinereadable form'],nah,nah,,
if you want us to correct data we ask you to clearly specify which personal data are inaccurate and to provide us with proof of why they are inaccurate,['proof'],['data'],nah,nah,,
your right to object to the processing of your personal data for direct marketing purposes is free of charge and can be exercised without having to state grounds by clicking the unsubscribe link in any promotional or commercial email we send you,nah,nah,nah,nah,,
you may be entitled to access personally identifiable information held about you subject to certain exemptions in accordance with the applicable data protection law,nah,['personally identifiable information'],"['access', 'access']",nah,,
in addition you may at any time review or change your personally identifiable information by going to your account settings,['your account settings'],['your personally identifiable information'],nah,nah,,
if you have any questions regarding our privacy policy please contact our privacy officer,['our privacy officer'],nah,nah,nah,,
if you have any questions concerns or comments about our privacy policy you may contact us using the information below,nah,['any questions concerns'],nah,nah,,
we reserve the right to review the content of your messages including by using automatic filters,nah,nah,"['reserve', 'reserve']",nah,,
if you do not want us to use your data in this way please let us know by contacting us at email,nah,nah,nah,nah,,
you have a right to know what information we hold about you and in some cases to have the information communicated to you,nah,nah,nah,nah,,
right to correct personal information,nah,nah,"['correct', 'correct']",nah,,
we try to keep the information that we hold about you accurate and up to date,nah,nah,"['keep', 'keep']",nah,,
should you realise that any of the information that we hold about you is incorrect please let us know at email and we will correct it as soon as we can,nah,nah,nah,nah,,
in some circumstances you have a right to have some of the personal information that we hold about you deleted,['some circumstances'],nah,nah,nah,,
in some circumstances you may have the right to request that data which you have provided to us is provided to you so you can transfer this to another data controller,['some circumstances'],nah,nah,nah,,
in some cases you may have the right to request a restriction of the processing of your personal data such as when you are disputing the accuracy of your data held by us,['some cases'],nah,nah,nah,,
you have the right to object to the processing of personal data about you which is processed on the grounds of legitimate interests see legal bases below,nah,nah,nah,nah,,
if you have any questions or concerns about any of the matters in relation to this privacy policy including to exercise any of your rights then there are several way of contacting us,['relation'],nah,nah,nah,,
in writing to genera games sl cardenal bueno monreal 20 planta 2 sevilla 41010 sevilla spain,nah,nah,nah,nah,,
if you have questions or complaints regarding our privacy policy or practices please contact us at email,['email'],nah,nah,nah,,
you may also correct update or amend your personal information in your profile settings within the geozilla app or by emailing us,['update'],nah,['amend'],nah,,
your user content can be deleted permanently by emailing a request to email,['a request'],nah,nah,nah,,
please contact us at email if you have any questions about our privacy policy,nah,nah,nah,nah,,
